location,total_sqft,bath,bhk,price_per_sqft,price
Whitefield,1459.0,2.0,2,6498.971898560658,94.82
KR Puram,800.0,1.0,2,16250.0,130.0
other,869.0,2.0,2,4142.692750287687,36.0
other,1270.0,2.0,2,3937.0078740157483,50.0
Bhoganhalli,1670.0,3.0,3,5928.143712574851,99.0
Whitefield,2010.0,3.0,3,4527.363184079602,91.0
Lakshminarayana Pura,1185.0,2.0,2,6329.113924050633,75.0
Yelahanka,1600.0,2.0,3,4687.5,75.0
Begur Road,1200.0,2.0,2,3666.6666666666665,44.0
other,840.0,2.0,2,5357.142857142857,45.0
other,845.0,2.0,2,6508.87573964497,55.0
Varthur,1160.0,2.0,2,3793.103448275862,44.0
Doddathoguru,1100.0,2.0,2,5636.363636363636,62.0
Gunjur,1140.0,2.0,2,3771.9298245614036,43.0
Marathahalli,1220.0,2.0,2,4672.131147540984,57.0
Kanakpura Road,1005.0,2.0,2,3649.7512437810947,36.68
Begur Road,1358.0,2.0,2,5933.726067746687,80.58
Hegde Nagar,1569.0,3.0,3,6437.221159974506,101.0
Haralur Road,1240.0,2.0,2,5645.1612903225805,70.0
Hennur Road,2089.0,3.0,3,6701.771182383915,140.0
Kothannur,1206.0,2.0,2,3999.1708126036483,48.23
Kalena Agrahara,1150.0,2.0,2,3478.2608695652175,40.0
other,1660.0,2.0,3,6325.301204819277,105.0
Yelahanka,1326.0,2.0,2,5882.35294117647,78.0
Garudachar Palya,1325.0,2.0,3,4588.679245283019,60.8
Kanakpura Road,1665.0,3.0,3,5285.285285285286,88.0
Dasanapura,708.0,2.0,2,5225.988700564972,37.0
Kasavanhalli,1060.0,2.0,2,5477.358490566037,58.06
Sanjay nagar,1000.0,2.0,2,7000.0,70.0
Electronic City,1000.0,2.0,2,2888.0,28.88
other,1450.0,2.0,3,4827.586206896552,70.0
ISRO Layout,1200.0,4.0,4,12916.666666666666,155.0
Thanisandra,1296.0,2.0,2,6172.83950617284,80.0
Domlur,1540.0,3.0,3,5844.1558441558445,90.0
Sarjapura - Attibele Road,1330.0,2.0,3,3609.0225563909776,48.0
other,1200.0,2.0,2,5416.666666666667,65.0
other,1200.0,3.0,3,7500.0,90.0
Chandapura,650.0,1.0,2,2615.3846153846152,17.0
other,1007.0,2.0,2,4270.109235352532,43.0
other,1200.0,2.0,2,4166.666666666667,50.0
other,966.0,2.0,2,5165.631469979296,49.9
Nagarbhavi,1630.0,2.0,3,6012.269938650306,98.0
other,782.0,2.0,2,7120.204603580562,55.68
Devanahalli,1260.0,2.0,2,5300.0,66.78
other,1800.0,3.0,3,6666.666666666667,120.0
other,1413.0,2.0,3,5307.855626326964,75.0
Whitefield,1116.0,2.0,2,4651.433691756272,51.91
Electronic City,1530.0,2.0,3,3000.0,45.9
Kengeri,1540.0,2.0,3,4155.8441558441555,64.0
Thanisandra,1436.0,3.0,3,5205.431754874652,74.75
Malleshwaram,1100.0,2.0,2,6818.181818181818,75.0
Thanisandra,1427.0,3.0,3,8409.250175192712,120.0
Devanahalli,1282.0,2.0,3,5344.773790951638,68.52
Kadugodi,1050.0,2.0,2,3238.095238095238,34.0
LB Shastri Nagar,1600.0,3.0,3,4062.5,65.0
other,945.0,2.0,2,5714.285714285715,54.0
Hormavu,1500.0,2.0,2,5200.0,78.0
other,1870.0,3.0,3,5882.35294117647,110.0
Sarjapur,1600.0,3.0,3,4687.5,75.0
Electronic City,880.0,1.0,2,1875.0,16.5
Kudlu Gate,1535.0,3.0,3,5407.166123778502,83.0
Kanakpura Road,950.0,2.0,2,6000.0,57.0
Devanahalli,1360.0,2.0,2,4779.411764705882,65.0
8th Phase JP Nagar,1073.5,2.0,2,5030.740568234746,54.005
Bommasandra Industrial Area,1280.0,3.0,3,3937.5,50.4
other,1260.0,2.0,3,6750.0,85.05
Kasavanhalli,1563.05,3.0,3,6717.635392341896,105.0
ISRO Layout,1000.0,2.0,2,6000.0,60.0
Anandapura,1167.0,2.0,2,3749.7857754927163,43.76
Kothanur,1828.0,3.0,3,6017.505470459519,110.0
Kengeri Satellite Town,890.0,2.0,2,3932.5842696629215,35.0
other,1612.0,3.0,3,2899.5037220843674,46.74
Mysore Road,1710.0,4.0,3,5339.766081871345,91.31
Kannamangala,957.0,2.0,2,6060.606060606061,58.0
Devarachikkanahalli,1250.0,2.0,3,3520.0,44.0
Hulimavu,1125.0,2.0,2,4444.444444444444,50.0
Electronic City Phase II,1020.0,2.0,2,3000.0,30.6
Kalena Agrahara,1200.0,2.0,2,4166.666666666667,50.0
Thanisandra,1735.0,3.0,3,7780.979827089337,135.0
Thanisandra,2050.0,3.0,3,7073.170731707317,145.0
other,1350.0,2.0,3,3555.5555555555557,48.0
Hosa Road,1063.0,2.0,2,3010.348071495767,32.0
other,1904.0,3.0,3,7878.151260504202,150.0
other,2000.0,3.0,3,8750.0,175.0
Sarjapur,1242.5,2.0,2,3500.201207243461,43.49
other,1425.0,2.0,3,5263.1578947368425,75.0
Electronic City,1500.0,2.0,3,4300.0,64.5
Electronic City,1060.0,2.0,2,5660.377358490566,60.0
other,1470.0,2.0,3,4761.9047619047615,70.0
Attibele,450.0,1.0,1,2444.4444444444443,11.0
Electronic City,1152.0,2.0,2,5598.958333333333,64.5
Electronic City,1350.0,2.0,3,4148.148148148148,56.0
CV Raman Nagar,1550.0,3.0,3,4193.548387096775,65.0
other,1500.0,3.0,3,6666.666666666667,100.0
Nagavara,400.0,1.0,1,3500.0,14.0
Malleshwaram,705.0,1.0,1,9503.54609929078,67.0
Electronic City,770.0,1.0,2,4675.324675324675,36.0
Hulimavu,1242.0,2.0,2,4106.280193236715,51.0
Hebbal Kempapura,1700.0,3.0,3,9117.64705882353,155.0
Thanisandra,2144.0,3.0,3,6763.059701492537,145.0
Vijayanagar,1704.0,3.0,3,6455.399061032864,110.0
Electronic City,1070.0,2.0,2,4859.813084112149,52.0
other,1340.0,2.0,2,4156.7164179104475,55.7
Electronic City,1025.0,2.0,2,4487.804878048781,46.0
KR Puram,1277.5,2.0,2,4446.183953033268,56.8
Marathahalli,1200.0,2.0,2,4333.333333333333,52.0
Kanakpura Road,2250.0,4.0,4,4888.888888888889,110.0
Pattandur Agrahara,1550.0,2.0,3,5161.290322580645,80.0
Marathahalli,1200.0,2.0,2,5000.0,60.0
Yelahanka,1327.0,2.0,2,7385.079125847777,98.0
Kothanur,1186.0,2.0,2,4890.387858347386,58.0
other,1783.0,3.0,3,6449.8037016264725,115.0
HSR Layout,1400.0,3.0,3,4000.0,56.0
Nagasandra,980.0,2.0,2,4897.959183673469,48.0
EPIP Zone,1285.0,2.0,2,6381.322957198444,82.0
other,912.0,2.0,3,7675.438596491228,70.0
Whitefield,1225.0,2.0,2,3885.714285714286,47.6
Whitefield,1075.0,2.0,2,4930.232558139535,53.0
Kadugodi,1260.0,2.0,3,4285.714285714285,54.0
Yelahanka,1282.0,2.0,3,3798.751950078003,48.7
Kogilu,1909.0,3.0,3,4609.743321110529,88.0
Panathur,1359.0,2.0,2,6401.766004415011,87.0
other,1207.0,2.0,2,3603.976801988401,43.5
Kammasandra,1595.0,3.0,3,4075.2351097178685,65.0
other,1798.0,3.0,3,4949.944382647386,89.0
Electronics City Phase 1,1475.0,3.0,3,5307.796610169492,78.29
other,1580.0,3.0,3,6329.113924050633,100.0
Dasarahalli,1295.0,2.0,2,5019.305019305019,65.0
Electronic City,589.0,1.0,1,4584.040747028863,27.0
other,1415.0,3.0,3,5512.367491166077,78.0
Sarjapur  Road,1787.0,3.0,3,5500.279798545048,98.29
Sarjapur  Road,1787.0,3.0,3,6994.963626189144,125.0
Koramangala,1475.0,2.0,3,6101.6949152542375,90.0
other,2000.0,4.0,4,3775.0,75.5
Sarjapur  Road,984.0,2.0,2,4500.0,44.28
7th Phase JP Nagar,1080.0,2.0,2,6666.666666666667,72.0
other,1500.0,2.0,2,7666.666666666667,115.0
Hebbal,1900.0,3.0,3,6263.1578947368425,119.0
Dommasandra,805.0,2.0,2,2750.3105590062114,22.14
Budigere,1153.0,2.0,2,4891.587163920208,56.4
other,1148.0,2.0,2,5226.480836236934,60.0
other,1110.0,2.0,2,4954.954954954955,55.0
Electronic City,1100.0,2.0,2,3818.181818181818,42.0
Kalyan nagar,1290.0,2.0,2,8527.131782945737,110.0
other,1500.0,2.0,3,4333.333333333333,65.0
other,1080.0,2.0,2,3611.1111111111113,39.0
Vijayanagar,1933.0,3.0,3,6673.564407656492,129.0
other,1060.0,2.0,2,5660.377358490566,60.0
Chandapura,645.0,1.0,1,2550.3875968992247,16.45
Chandapura,645.0,1.0,1,2550.3875968992247,16.45
other,1644.0,3.0,3,5109.489051094891,84.0
other,1285.0,2.0,2,5642.023346303502,72.5
Electronic City,1200.0,3.0,3,7500.0,90.0
Electronic City,910.0,2.0,2,4395.604395604396,40.0
Kothanur,1577.0,3.0,3,4438.807863031072,70.0
Chandapura,800.0,1.0,2,2500.0,20.0
other,1060.0,2.0,2,5188.679245283019,55.0
7th Phase JP Nagar,1270.0,2.0,2,7322.834645669292,93.0
other,900.0,2.0,2,2500.0,22.5
other,1280.0,2.0,2,5390.625,69.0
Horamavu Agara,1200.0,2.0,4,7916.666666666667,95.0
Sarjapur  Road,1025.0,2.0,2,3512.1951219512193,36.0
Electronic City,1108.0,2.0,2,5685.9205776173285,63.0
Vijayanagar,1500.0,3.0,3,5033.333333333333,75.5
Raja Rajeshwari Nagar,1295.0,2.0,2,3389.96138996139,43.9
Budigere,1162.0,2.0,2,5154.9053356282275,59.9
Sarjapur  Road,1035.0,2.0,2,4753.623188405797,49.2
Attibele,1600.0,4.0,4,3300.0,52.8
other,1464.0,3.0,3,3142.0765027322404,46.0
Hennur Road,1866.0,2.0,3,3300.10718113612,61.58
other,700.0,1.0,2,3714.285714285714,26.0
Kalena Agrahara,1804.0,3.0,3,6651.884700665189,120.0
Sarjapur,913.0,2.0,2,3504.9288061336256,32.0
Talaghattapura,1868.0,3.0,3,7012.847965738758,131.0
Kengeri Satellite Town,883.0,2.0,2,5096.262740656852,45.0
other,900.0,2.0,2,12222.222222222223,110.0
Kogilu,1664.0,2.0,3,4444.110576923077,73.95
Hegde Nagar,2026.0,3.0,3,6515.301085883514,132.0
Balagere,1210.0,2.0,2,6685.950413223141,80.9
Kadugodi,1762.0,3.0,3,5190.124858115778,91.45
Jigani,1252.0,3.0,3,4392.97124600639,55.0
Gollarapalya Hosahalli,861.0,2.0,2,4006.968641114983,34.5
7th Phase JP Nagar,1420.0,2.0,3,7042.2535211267605,100.0
Electronics City Phase 1,1490.0,3.0,3,5288.5906040268455,78.8
Bisuvanahalli,1075.0,2.0,3,4279.069767441861,46.0
Old Madras Road,1425.0,2.0,3,6596.491228070176,94.0
Kalena Agrahara,1200.0,2.0,2,3333.3333333333335,40.0
Kaggadasapura,1280.0,2.0,3,4375.0,56.0
other,1084.0,2.0,2,4612.546125461255,50.0
Chandapura,1015.0,2.0,2,2549.753694581281,25.88
Kanakpura Road,1017.0,2.0,2,5039.331366764995,51.25
Haralur Road,1027.0,2.0,2,4284.323271665044,44.0
Electronic City Phase II,1069.0,2.0,2,4209.541627689429,45.0
Hebbal,1349.0,2.0,2,7279.466271312083,98.2
9th Phase JP Nagar,1005.0,2.0,2,4975.124378109453,50.0
Jakkur,1417.0,2.0,2,5292.87226534933,75.0
TC Palaya,1475.0,3.0,3,6644.067796610169,98.0
other,950.0,2.0,2,4947.368421052632,47.0
other,2000.0,4.0,4,6000.0,120.0
Sarjapur  Road,1863.0,3.0,4,5582.393988191089,104.0
Singasandra,1010.0,2.0,2,2920.792079207921,29.5
Kalena Agrahara,1425.0,2.0,3,4912.2807017543855,70.0
Vijayanagar,1450.0,3.0,3,6896.551724137931,100.0
Kothanur,1847.0,3.0,3,5684.89442338928,105.0
AECS Layout,1100.0,2.0,2,4090.909090909091,45.0
Kanakpura Road,525.0,1.0,1,4952.380952380952,26.0
Mallasandra,1665.0,3.0,3,5705.705705705705,95.0
Begur,1664.0,4.0,4,3906.25,65.0
JP Nagar,1850.0,3.0,3,8108.108108108108,150.0
Panathur,1438.0,2.0,2,6954.102920723227,100.0
other,1560.0,3.0,3,7371.794871794872,115.0
Yelahanka,1350.0,2.0,2,4114.814814814815,55.55
Kanakpura Road,1550.0,3.0,3,4322.580645161291,67.0
Malleshpalya,1140.0,2.0,2,4078.9473684210525,46.5
other,850.0,2.0,2,3176.470588235294,27.0
Whitefield,1280.0,2.0,2,5859.375,75.0
Munnekollal,1170.0,2.0,2,4444.444444444444,52.0
other,1113.0,2.0,2,4582.210242587601,51.0
Hennur Road,1385.0,2.0,2,5999.27797833935,83.09
Electronic City,1128.0,2.0,2,5762.41134751773,65.0
Marathahalli,1200.0,2.0,2,10666.666666666666,128.0
other,1200.0,4.0,4,13750.0,165.0
Haralur Road,1464.0,3.0,3,3825.136612021858,56.0
other,1200.0,2.0,2,4583.333333333333,55.0
Kaval Byrasandra,1200.0,2.0,2,4333.333333333333,52.0
Kaggalipura,1150.0,2.0,3,4782.608695652174,55.0
other,1645.0,3.0,3,5775.075987841945,95.0
Sarjapur  Road,1000.0,2.0,2,6700.0,67.0
6th Phase JP Nagar,1192.0,2.0,2,6208.053691275168,74.0
Whitefield,1173.0,2.0,2,4944.58653026428,58.0
Uttarahalli,1020.0,2.0,2,4411.764705882353,45.0
Somasundara Palya,1600.0,3.0,3,4000.0,64.0
other,1200.0,2.0,2,6583.333333333333,79.0
other,1230.0,2.0,2,3902.439024390244,48.0
Devarachikkanahalli,1250.0,2.0,2,3200.0,40.0
Kalena Agrahara,1325.0,2.0,2,5735.8490566037735,76.0
7th Phase JP Nagar,1850.0,3.0,3,8108.108108108108,150.0
Basaveshwara Nagar,1200.0,2.0,2,5416.666666666667,65.0
other,1350.0,2.0,3,10370.37037037037,140.0
Bommasandra,1260.0,3.0,3,3917.4603174603176,49.36
other,1800.0,3.0,3,8333.333333333334,150.0
Ardendale,1100.0,2.0,2,3931.818181818182,43.25
Harlur,1508.0,2.0,2,5106.100795755968,77.0
other,1592.0,3.0,3,4711.05527638191,75.0
Akshaya Nagar,1388.0,2.0,2,4106.628242074928,57.0
Electronic City Phase II,630.0,1.0,1,4500.0,28.35
other,1762.0,3.0,3,7094.211123723042,125.0
other,950.0,2.0,2,5263.1578947368425,50.0
Magadi Road,1116.0,2.0,2,4480.286738351255,50.0
Narayanapura,1308.0,2.0,2,6807.339449541284,89.04
other,1200.0,3.0,3,7500.0,90.0
Bannerghatta Road,500.0,1.0,1,3700.0,18.5
Hennur,1075.0,2.0,2,4837.209302325581,52.0
Chandapura,530.0,1.0,1,2200.0,11.66
Bellandur,1205.0,2.0,2,5477.178423236514,66.0
5th Phase JP Nagar,1075.0,2.0,2,5581.395348837209,60.0
KR Puram,930.0,2.0,2,4193.548387096775,39.0
Balagere,1380.0,2.0,2,4347.826086956522,60.0
Kodigehaali,1166.0,2.0,2,4716.981132075472,55.0
Bannerghatta Road,1050.0,2.0,2,6190.476190476191,65.0
Begur Road,1200.0,2.0,2,3900.0,46.8
Lakshminarayana Pura,1600.0,2.0,3,6750.0,108.0
Billekahalli,1935.0,3.0,3,5684.754521963824,110.0
8th Phase JP Nagar,451.0,1.0,1,6629.711751662971,29.9
Electronic City,1800.0,3.0,3,5277.777777777777,95.0
Jalahalli,1400.0,3.0,3,5500.0,77.0
Hegde Nagar,1801.0,3.0,3,6385.341476957246,115.0
Mahadevpura,1451.0,2.0,2,6202.618883528601,90.0
Anekal,1200.0,1.0,2,3000.0,36.0
Begur Road,1160.0,2.0,2,3793.103448275862,44.0
Kengeri,1000.0,2.0,2,2500.0,25.0
Kanakpura Road,950.0,2.0,2,4210.526315789473,40.0
other,1629.0,3.0,3,4849.600982197668,79.0
Vijayanagar,1580.0,2.0,3,8481.012658227848,134.0
Vijayanagar,1826.0,3.0,3,6626.506024096386,121.0
7th Phase JP Nagar,1245.0,2.0,2,7550.2008032128515,94.0
Raja Rajeshwari Nagar,1145.0,2.0,2,3999.126637554585,45.79
Sompura,825.0,2.0,2,4000.0,33.0
Yeshwanthpur,1693.0,3.0,3,6379.208505611341,108.0
Electronics City Phase 1,1113.27,2.0,2,4760.74986301616,53.0
other,1460.0,2.0,2,3972.6027397260273,58.0
Doddathoguru,1050.0,2.0,2,3047.6190476190477,32.0
Dodda Nekkundi,1260.0,2.0,2,4365.079365079365,55.0
Hosur Road,1656.0,2.0,2,7246.376811594203,120.0
Chandapura,1208.0,3.0,3,3725.1655629139073,45.0
Whitefield,1910.0,3.0,3,8429.319371727748,161.0
Battarahalli,1200.0,2.0,2,5416.666666666667,65.0
other,1200.0,4.0,4,14583.333333333334,175.0
7th Phase JP Nagar,1175.0,2.0,2,6978.723404255319,82.0
other,1000.0,2.0,2,16500.0,165.0
Bannerghatta Road,1200.0,2.0,4,10416.666666666666,125.0
other,1185.0,2.0,2,3206.7510548523205,38.0
Kengeri,750.0,2.0,2,5066.666666666667,38.0
Kanakpura Road,1550.0,3.0,3,4161.290322580645,64.5
other,1760.0,3.0,3,5000.0,88.0
Billekahalli,1125.0,2.0,2,5511.111111111111,62.0
Nagarbhavi,1350.0,3.0,3,11111.111111111111,150.0
Anandapura,1000.0,2.0,2,5500.0,55.0
Bommasandra Industrial Area,1090.0,2.0,2,2888.0733944954127,31.48
TC Palaya,1200.0,2.0,2,5000.0,60.0
Budigere,1991.0,4.0,3,5173.279758915118,103.0
Bommasandra,1060.0,2.0,2,2500.0,26.5
Ambalipura,1105.0,2.0,2,6787.330316742082,75.0
Hoodi,985.0,2.0,2,6802.030456852792,67.0
Balagere,1590.0,3.0,3,4968.553459119496,79.0
CV Raman Nagar,1120.0,2.0,2,4910.714285714285,55.0
other,1069.0,2.0,2,5144.9953227315245,55.0
Marathahalli,1933.0,3.0,3,7242.628039317124,140.0
Hosur Road,1194.0,2.0,2,5778.894472361809,69.0
Brookefield,1150.0,2.0,2,6000.0,69.0
Yelenahalli,1240.0,2.0,2,3800.0,47.12
Raja Rajeshwari Nagar,1419.0,2.0,2,3389.7110641296686,48.1
other,1450.0,3.0,3,3793.103448275862,55.0
other,1630.0,3.0,3,4189.57055214724,68.29
Dasanapura,708.0,1.0,2,5649.717514124294,40.0
Kasavanhalli,1000.0,4.0,3,11000.0,110.0
Bellandur,1250.0,2.0,2,6080.0,76.0
7th Phase JP Nagar,1400.0,2.0,3,6785.714285714285,95.0
Sarjapur  Road,1670.0,2.0,3,3413.1736526946106,57.0
Ardendale,1750.0,3.0,3,5714.285714285715,100.0
Vittasandra,1404.0,2.0,2,5056.980056980057,71.0
Hoodi,1715.0,2.0,3,5539.35860058309,95.0
Electronic City,630.0,1.0,1,5500.0,34.65
Harlur,1752.12,3.0,3,7704.951715635916,135.0
Hulimavu,1650.0,3.0,3,4727.272727272727,78.0
Raja Rajeshwari Nagar,1295.0,2.0,2,4283.397683397683,55.47
Sarjapur  Road,1346.0,2.0,2,5500.0,74.03
Hormavu,1150.0,2.0,2,4782.608695652174,55.0
Chandapura,1190.0,2.0,3,2550.4201680672268,30.35
AECS Layout,1620.0,3.0,3,6049.382716049383,98.0
Marathahalli,950.0,2.0,2,4943.1578947368425,46.96
Electronic City Phase II,1220.0,2.0,3,2887.7049180327863,35.23
other,850.0,2.0,2,3529.4117647058824,30.0
Padmanabhanagar,1020.0,2.0,2,6176.470588235294,63.0
Chikkalasandra,1100.0,2.0,2,4545.454545454545,50.0
other,1150.0,2.0,2,10956.521739130434,126.0
Hebbal,1760.0,2.0,3,7386.363636363636,130.0
Ambalipura,1800.0,3.0,3,6111.111111111111,110.0
Akshaya Nagar,1070.0,2.0,2,5046.728971962617,54.0
Vidyaranyapura,1440.0,2.0,2,6597.222222222223,95.0
Amruthahalli,900.0,2.0,2,4444.444444444444,40.0
Whitefield,1130.0,2.0,2,3730.973451327434,42.16
Koramangala,1320.0,2.0,2,12500.0,165.0
Kodigehalli,1270.0,2.0,2,7716.535433070866,98.0
other,1200.0,2.0,2,5166.666666666667,62.0
other,1200.0,2.0,2,6166.666666666667,74.0
Subramanyapura,929.0,2.0,2,5400.4305705059205,50.17
other,1464.0,3.0,3,3825.136612021858,56.0
other,2000.0,4.0,4,4950.0,99.0
Chikkalasandra,1208.0,2.0,2,4056.291390728477,49.0
Hebbal Kempapura,1130.0,2.0,2,5309.734513274337,60.0
other,1753.0,3.0,3,6845.407872219053,120.0
Hoodi,1196.0,2.0,2,7894.648829431439,94.42
5th Phase JP Nagar,1150.0,3.0,2,4565.217391304348,52.5
Electronic City,1128.0,2.0,2,5585.106382978724,63.0
other,1000.0,2.0,2,5300.0,53.0
Yelahanka,1035.0,2.0,2,4347.826086956522,45.0
Kereguddadahalli,950.0,2.0,2,3368.4210526315787,32.0
Bisuvanahalli,1075.0,2.0,3,3348.8372093023254,36.0
Whitefield,1040.0,2.0,2,4663.461538461538,48.5
other,720.0,2.0,2,6250.0,45.0
Lingadheeranahalli,1511.0,3.0,3,6287.22700198544,95.0
other,1300.0,3.0,3,4461.538461538462,58.0
Hoodi,1545.0,3.0,3,4449.838187702266,68.75
Shampura,375.0,2.0,1,6933.333333333333,26.0
Vidyaranyapura,1062.0,2.0,2,3578.154425612053,38.0
other,1115.0,2.0,2,3587.4439461883408,40.0
JP Nagar,1000.0,2.0,2,3500.0,35.0
Kambipura,883.0,2.0,2,5096.262740656852,45.0
Sarjapur  Road,1195.0,2.0,2,5857.740585774059,70.0
other,1200.0,3.0,4,13750.0,165.0
other,700.0,1.0,1,5857.142857142857,41.0
Vittasandra,1246.0,2.0,2,5377.2070626003215,67.0
other,1600.0,4.0,4,5000.0,80.0
Begur Road,1584.0,3.0,3,4103.535353535353,65.0
Hosur Road,1175.0,2.0,3,4085.1063829787236,48.0
other,1595.0,3.0,3,7210.031347962383,115.0
other,1353.0,2.0,2,8130.081300813008,110.0
Electronic City,1599.0,3.0,3,7817.385866166354,125.0
Whitefield,1150.0,2.0,2,6086.95652173913,70.0
KR Puram,1155.0,2.0,2,3700.4329004329006,42.74
other,1200.0,2.0,1,7083.333333333333,85.0
Electronic City Phase II,1000.0,2.0,2,2500.0,25.0
Rajiv Nagar,1867.0,3.0,3,8569.89823245849,160.0
Ramagondanahalli,1251.0,2.0,2,3756.994404476419,47.0
other,1028.0,2.0,2,4426.070038910506,45.5
Arekere,1222.0,2.0,2,3682.4877250409168,45.0
Bannerghatta Road,1170.0,2.0,3,5641.025641025641,66.0
other,1385.0,2.0,3,3500.361010830325,48.48
HSR Layout,1372.0,2.0,2,4956.268221574344,68.0
Magadi Road,1282.0,2.0,3,3822.1528861154447,49.0
Kanakpura Road,1135.0,2.0,2,3500.440528634361,39.73
Whitefield,1768.0,3.0,3,5712.669683257918,101.0
other,1325.0,2.0,3,6792.452830188679,90.0
Electronic City,1599.0,3.0,3,6191.369606003753,99.0
Whitefield,1500.0,3.0,3,4130.0,61.95
Uttarahalli,1286.0,2.0,2,4898.9113530326595,63.0
other,1600.0,2.0,3,3125.0,50.0
Hennur Road,1317.5,2.0,2,4840.2277039848195,63.77
Munnekollal,1102.0,2.0,2,4870.235934664247,53.67
Yelahanka,1350.0,2.0,2,4000.0,54.0
Banashankari,1200.0,2.0,3,3500.0,42.0
other,1800.0,1.0,2,4444.444444444444,80.0
Chikkabanavar,950.0,2.0,2,4210.526315789473,40.0
Kanakpura Road,525.0,1.0,1,5190.476190476191,27.25
Attibele,656.0,2.0,2,3810.9756097560976,25.0
Marathahalli,1780.0,4.0,4,9831.460674157302,175.0
other,1056.0,2.0,2,7575.757575757576,80.0
Bannerghatta Road,595.0,1.0,1,5600.0,33.32
other,1080.0,2.0,2,4629.62962962963,50.0
7th Phase JP Nagar,2225.0,3.0,3,7191.011235955056,160.0
Bommasandra,1126.0,2.0,2,2500.0,28.15
Electronics City Phase 1,1490.0,3.0,3,5637.583892617449,84.0
Sarjapur  Road,1550.0,3.0,3,6451.612903225807,100.0
other,1160.0,2.0,2,4741.379310344828,55.0
Sarjapur  Road,2100.0,3.0,3,5952.380952380952,125.0
Vittasandra,1404.0,2.0,2,4935.897435897436,69.3
other,1544.0,3.0,3,7772.020725388601,120.0
Banashankari Stage III,1305.0,2.0,3,4498.08429118774,58.7
Marathahalli,1230.0,2.0,2,6504.065040650406,80.0
other,1200.0,2.0,2,5416.666666666667,65.0
Harlur,1460.0,3.0,3,5000.0,73.0
Gottigere,967.0,2.0,2,4653.567735263702,45.0
other,540.0,1.0,1,6666.666666666667,36.0
Hormavu,715.0,1.0,1,6433.566433566433,46.0
other,1578.0,3.0,3,11406.84410646388,180.0
Mysore Road,1020.0,2.0,2,4799.019607843137,48.95
Jigani,1020.0,2.0,2,3921.5686274509803,40.0
Koramangala,1253.0,2.0,2,8140.462889066241,102.0
other,1180.0,2.0,2,3559.322033898305,42.0
Nehru Nagar,961.0,2.0,2,3954.2143600416234,38.0
Kanakapura,1419.0,3.0,3,5285.412262156448,75.0
Harlur,1709.0,3.0,3,8777.062609713283,150.0
other,1600.0,2.0,2,7187.5,115.0
other,416.0,1.0,1,4447.115384615385,18.5
Sanjay nagar,1100.0,2.0,2,8909.09090909091,98.0
HSR Layout,1430.0,2.0,3,4545.454545454545,65.0
other,1260.0,2.0,2,3571.4285714285716,45.0
other,1630.0,3.0,3,5214.7239263803685,85.0
Sarjapur  Road,1249.0,3.0,3,3579.663730984788,44.71
Kalena Agrahara,1450.0,2.0,3,5862.068965517241,85.0
other,600.0,1.0,1,15000.0,90.0
